timestamp,temperature,humidity,pm1_cf1,pm25_cf1,pm10_cf1,pm1_atm,pm25_atm,pm10_atm,pc_03,pc_05,pc_10,pc_25,pc_50,pc_100
2026-02-15T21:19:51.062012,22.5,93.0,81,133,136,53,89,91,4579,4023,860,52,0,0
2026-02-15T21:19:56.105141,22.5,94.0,80,130,133,53,87,89,4559,4010,837,64,1,0
2026-02-15T21:20:01.156310,22.5,94.0,80,131,134,53,87,89,4494,3979,864,90,1,0
2026-02-15T21:20:06.240461,22.5,95.0,82,134,136,54,89,90,4418,3947,865,78,1,0
2026-02-15T21:20:11.357325,22.5,94.0,80,132,133,53,88,89,4441,3934,928,54,1,0
2026-02-15T21:20:16.376322,22.5,95.0,80,133,135,53,88,89,4584,4046,992,68,0,0
2026-02-15T21:20:21.392530,22.5,95.0,80,134,136,53,89,90,4562,4050,942,81,1,0
2026-02-15T21:20:26.410120,22.5,95.0,81,135,137,53,89,91,4630,4061,924,82,2,0
2026-02-15T21:20:31.448690,22.5,95.0,80,134,136,53,88,90,4571,3984,903,83,2,0
2026-02-15T21:20:36.509669,22.5,95.0,82,136,138,54,90,92,4441,3925,870,81,2,0
2026-02-15T21:20:41.557786,22.5,95.0,81,134,137,54,89,91,4355,3889,866,78,2,0
2026-02-15T21:20:46.684993,22.5,95.0,81,135,139,54,90,92,4342,3843,927,95,1,0
2026-02-15T21:20:51.648665,22.5,95.0,80,136,140,53,90,93,4411,3914,950,97,1,0
2026-02-15T21:20:56.720055,22.5,95.0,79,136,140,52,90,93,4477,3980,924,91,1,0
2026-02-15T21:21:01.840037,22.5,95.0,82,139,142,54,92,94,4405,3901,898,79,1,0
2026-02-15T21:21:06.857478,22.5,95.0,80,134,137,53,89,91,4371,3876,856,70,1,0
2026-02-15T21:21:11.843097,22.5,95.0,81,133,137,53,88,91,4549,4010,949,75,1,0
2026-02-15T21:21:16.894777,22.5,95.0,81,132,136,53,88,91,4577,4030,950,66,3,0
2026-02-15T21:21:21.940225,22.5,95.0,82,134,136,54,89,90,4448,3940,881,57,2,0
2026-02-15T21:21:26.995476,22.5,95.0,81,132,134,53,87,89,4302,3796,859,55,0,0
2026-02-15T21:21:32.038401,22.5,95.0,80,131,133,53,87,88,4350,3874,851,75,0,0
2026-02-15T21:21:37.168353,22.5,95.0,80,132,133,53,87,88,4429,3899,846,66,0,0
2026-02-15T21:21:42.140669,22.5,95.0,79,130,131,52,86,87,4409,3873,852,57,1,0
2026-02-15T21:21:47.203317,22.5,95.0,78,128,130,51,85,86,4369,3869,820,75,4,0
2026-02-15T21:21:52.324868,22.5,95.0,78,129,133,52,85,88,4385,3852,800,80,3,0
2026-02-15T21:21:57.340668,22.5,95.0,79,129,133,52,86,88,4544,3968,844,82,2,1
2026-02-15T21:22:02.332238,22.5,95.0,79,129,134,52,86,89,4552,4034,854,83,7,1
2026-02-15T21:22:07.381644,22.5,95.0,79,130,136,52,86,90,4399,3911,873,79,6,0
2026-02-15T21:22:12.499495,22.6,95.0,78,131,135,51,87,89,4384,3892,915,97,0,0
2026-02-15T21:22:17.513706,22.5,95.0,81,135,141,53,90,93,4620,4105,966,111,1,0
2026-02-15T21:22:22.531893,22.6,95.0,79,135,139,52,90,93,4550,4010,877,114,5,0
